a 一 一个 每
aback 向后
mephitis 臭气
merbromin 红药水
mercantile 商业
mercantilism 商业理论
mercantilist 重商主义者
mercenary 唯利是图
mercerize 丝光处理
merchandise 商品
merchant 商人
merciful 仁慈
merciless 残忍
mercurial 水银
mercurialism 水银中毒
mercurialize 用水银处理
mercury 汞
mercy 怜悯
mere 仅仅
merely 仅仅只是
meretricious 浮华
merganser 秋沙鸭
merge 融合
mergence 合并
merger 合并
meridian 子午线
meridional 子午线
meridional 南欧人
merit 有益于
merit 优点
meritocracy 学术界名流
meritorious 有功
mermaid 美人鱼
merry 欢乐
mesenchymal 间质
mesenchyme 间质
mesenteritis 肠系膜炎
mesentery 肠系膜
mesh 啮合
mesh 格网
meshed 迈谢德
mesial 中间
mesmeric 催眠
mesmerically 催眠地
mesmerism 催眠
mesmerize 施催眠术
mesocephalon 中脑
mesom 介子
mesomerism 中介现象
mesophyll 叶肉
mesoplasm 中胚质层
mesoplast 细胞核
mesopotamia 美索不达米亚
mess 弄乱
mess 混乱
message 信息
messenger 传令兵
messiah 救世主
messina 墨西拿
messuage 宅院
messy 杂乱
mestizo 混血儿
metabasis 症变
metabolism 新陈代谢
metabolite 代谢物
metabolize 产生代谢变化
metacarpus 掌
metachrosis 变色机能
metagalactic 宇宙
metagalaxy 宇宙
metagenesis 世代交替
metal 金属
metalanguage 元语言
metallic 金属
metallicity 金属性
metallics 金属粒子
metalline 金属
metallize 用金属处理
metalloid 非金属
metallurgist 冶金学家
metallurgy 冶金
metaloscope 金相显微镜
metalware 金属器皿
metalwork 金属制造
metalworking 金属加工
metamorphic 变形
metamorphose 变形
metaphase 中期
metaphor 隐喻
metaphorical 隐喻
metaphrase 直译
metaphrastic 直译
metaphysic 形而上学
metaphysical 形而上学
metaplasia 组织变形
metaplasm 词形变化
metascope 红外指示器
metasequoia 水杉
metasilicate 硅酸盐
metastasis 转移
metastasize 转移
metastatic 转移性
metatrophy 营养障碍
mete 边界
mete 给予
metempiric 先验论者
meteor 大气现象
meteoric 大气
meteorism 腹胀
meteorite 陨星
meteoritics 陨星学
meteorograph 气象计
meteorology 气象学
meter 计
meterage 测量
methane 甲烷
methanol 甲醇
metheglin 蜂蜜酒
method 方法
methodic 有条理
methodism 墨守成规
methodize 有条理
methodology 方法
methyl 甲基
meticulosity 无微不至
meticulous 小心翼翼
metre 米
metric 公制
metrication 公制化
metrics 规则
metritis 子宫炎
metroc 气象火箭
metrology 计量学
metropolis 大城市
metropolitan 大城市
metrorrhagia 子宫出血
mettle 勇气
mettlesome 精神饱满
metz 梅斯
mexican 墨西哥人
mexican 墨西哥
mexico 墨西哥
miami 迈阿密
miao 苗族人
miasma 瘴气
mica 云母
micanite 人造云母
michigan 密歇根
mickle 多
micrify 变小
micro 微型
microbe 微生物
microbiology 微生物学
microbus 微型公共汽车
microcard 微缩卡
microcircuit 微型电路
microclimate 小气候
microcopy 缩微本
microcosm 微观世界
microdot 微粒
microelement 微型文件
microfaction 小集团
microfiche 缩微胶片
microfilm 缩微胶卷
microgramme 微克
micrograph 显微图
micrography 显微照相
microlitre 微升
micrology 显微学
micrometer 测微表
micrometry 测微术
micromotor 微电机
micron 微米
micronesia 密克罗尼西亚
micropedia 小百科全书
microphone 话筒
microphyte 细菌
microprint 微缩印刷品
microreader 显微阅读器
microscope 显微镜
microscopy 显微镜方法
microsecond 微秒
microsoft 微软件
microtronics 微电子学
microwave 微波
microzyme 酵母菌
mid 中间
midday 正午
middle 中间
middling 中级品
middling 中等
mideast 中东
midge 蠓
midget 小型
midget 矮人
midheaven 中天
midland 内地
midmost 正中
midnight 午夜
midriff 横膈膜
midst 中间
midwife 助产士
mien 风度
miff 小争执
miff 生气
might 可以
might 权力
mightily 猛烈地
mightiness 强大
mighty 强大
mignifico 高官
migraine 偏头痛
migrate 迁移
migration 迁居
migrator 移居者
migratory 迁移
milady 夫人
milan 米兰
mild 温和
milden 温和
mildew 发霉
mile 英里
mileage 里程
milestone 里程碑
miliaria 痱子
miliary 栗粒状
militancy 战斗性
militant 战斗
militant 战斗者
militarily 军事上
militarism 军国主义
militarist 军国主义者
militaristic 军国主义
militarize 军事化
military 军事
militate 发生影响
militiaman 民兵
milium 粟丘疹
milk 牛奶
milking 挤奶
milkness 乳状
milky 牛奶
mill 铣轧
mill 工场
millenarian 一千年
millenary 一千年
miller 磨坊主
millesimal 千分之一
milliammeter 毫安表
milliampere 毫安
millicron 毫微米
millifarad 毫法
milligram 毫克
millilitre 毫升
millimetre 毫米
millimicron 毫微米
million 百万
millionaire 百万富翁
millisecond 毫秒
millivolt 毫伏
milliwatt 毫瓦
milord 大人
milt 脾
milwaukee 密尔沃基
mime 模仿
mime 笑剧
mimeograph 油印机
mimesis 模仿
mimetic 模仿
mimic 模拟
mimic 模仿
mimicry 模仿
minacious 威吓
minacity 威吓性
mince 切碎
mincing 切碎
mincing 装腔作势
mind 在意
mind 心意
mind 思想
mind 介意
mind 留心
mind 照顾
mind 主意
mindanao 明达瑙
mindless 没头脑
mine 地雷
mine 我的
mine 矿
minefield 地雷场
mineral 矿物
mineralogist 矿物学家
mineralogy 矿物学
mingle 混合
mini 小型
miniature 缩影
miniaturize 小型化
minibus 小型公共汽车
minify 缩小
minigun 小机枪
minimal 最小限度
minimize 最大限度地减少
minimum 最低工资
minimum 最小
mining 采矿
miniprv 微型步兵装甲车
minister 部长
ministerial 部
ministry 部
ministry 内阁
ministry 服务
ministry 对外经济联络部
minisub 小型潜水艇
minitype 微型
minneapolis 明尼阿波利斯
minnesota 明尼苏达
minor 次要
minority 少数
minsk 明斯克
mint 薄荷
minus 负数
minus 负
minute 分钟
minute 一会儿
miracle 奇迹
mirage 海市蜃楼
mire 泥潭
mire 陷入
mireness 泥泞
mirror 反映
mirror 镜子
misadventure 灾祸
misapply 滥用
misapprehend 误解
miscalculate 错误计算
mischief 损害
mischievous 为害
miscible 可溶
misconceive 误解
miscount 数错
miscount 计算错误
miserable 可怜
miserably 悲惨
misery 悲惨境遇
misfire 不发火
misfortune 不幸
misgiving 担忧
misguide 错误引导
misguided 误入歧途
misguided 错误引导
mishandle 错误处理
mishap 灾祸
misinform 错误信息
misintepret 误译
misinterpret 误译
misjudge 错误判断
misjudgement 错误判断
miskolc 米什科尔茨
mislay 放错
mislead 误入歧途
misleading 易于误解
misleading 误入歧途
mislike 厌恶
mismanage 不当地经办
misplace 误置
misprint 印刷错误
misprint 印错
misprize 轻视
misrepresent 误述
miss 错过
miss 小姐
missend 送错
misshape 歪曲
missile 导弹
mission 任务
mississippi 密西西比
missive 信件
missouri 密苏里
misspend 滥用
misstate 谎报
misstatement 伪称
misstep 失足
mist 薄雾
mistake 误解
mistake 错误
mister 先生
mistreat 虐待
mistress 女主人
mistrust 不信任
misuse 误用
mit 麻省理工学院
mitigable 可缓和
mitigate 减轻
mitosis 有丝分裂
mitotic 有丝分裂
mitten 手套
mix 混合
mixed 混合
mixture 混合物
mixture 混合
mob 乌合之众
mobile 运载工具
mobile 机动
mobility 机动性
mobilization 动员
mobilize 动员
mock 嘲弄
mockery 嘲笑
mockingly 嘲讽地
mode 方式
model 模拟
model 模型
modellings 构模
modem 调制解调器
moder 脉冲编码装置
moderate 缓和
moderate 适中
moderation 适度
moderator 缓和剂
modern 现代
modernistic 现代派
modernize 现代化
modest 适度
modesty 虚心
modifiable 可更改
modification 修正
modificator 更改者
modified 改进
modified 修改
modify 修改
modulability 调制能力
modular 模块
modularize 模块化
modulate 调节
modulation 调制
modulator 调节器
module 模块
mogadishu 摩加迪沙
moist 潮湿
moisten 变湿
moisture 湿气
moldavia 摩尔达维亚
moldova 摩尔多瓦
mole 鼹鼠
molecular 分子
molecule 分子
mollify 平息
molten 熔化
molten 熔铸
molybdenum 钼
mombasa 蒙巴萨
moment 瞬间
momentarily 即刻
momentary 瞬时
momentous 重要
momentum 锐势
monaco 摩纳哥
monarch 君主
monarchal 君主
monarchic 君主
monarchism 君主政治
monarchist 君主主义者
monarchy 君主政体
monastery 寺院
monasticism 禁欲主义
monday 星期一
monetary 金钱
money 金钱
moneyed 金钱
mongolia 蒙古
mongolian 蒙古
mongolian 蒙古人
mongolian 蒙古语
monitor 监控
monitor 监控器
monk 僧侣
monkey 猴子
monochromat 全色盲者
monochrome 单色
monoclonal 单克隆
monocracy 独裁政治
monocrat 独裁者
monograph 专论
monopolist 专利者
monopolize 垄断
monopoly 专利权
monopulse 单脉冲
monotonic 单调
monotonous 单调枯燥
monrovia 蒙罗维亚
monsoon 季风
monster 怪物
monstrosity 畸形
monstrous 怪异
montana 蒙大拿
monterrey 蒙特雷
montevideo 蒙得维的亚
month 月
monthly 月刊
monthly 每月
montreal 蒙特利尔
monument 纪念碑
mood 状态
moon 月亮
moonlight 月光
moor 荒野
moor 停泊
mop 扫荡
mope 闷闷不乐
mopti 莫普蒂
moral 道德
moral 精神
morale 士气
morality 道德
morally 精神上
morass 沼泽
moravia 摩拉维亚
morbilli 麻疹
more 更加
more 更多
more 多
more 进一步
more 超过
moreover 此外
morgue 资料室
moribund 垂死
morning 早晨
moroccan 摩洛哥人
moroccan 摩洛哥
morocco 摩洛哥
moroni 莫罗尼
morose 郁闷
morphia 吗啡
morphinism 吗啡中毒
morphology 形态学
morrow 次日
morse 摩尔斯电码
mortal 致命
mortality 死亡率
mortar 迫击炮
mortgage 抵押
moscow 莫斯科
mosquito 蚊子
moss 苔
most 大多数
most 其中大多数
most 最
most 极其
most 最大的
mostly 通常
mote 尘
motel 汽车旅客旅馆
moth 蛾
mother 母亲
motherland 祖国
mothy 多蛾
motion 运动
motion 动作
motional 运动
motivate 激发
motivation 动机
motive 动机
motive 运动
motor 发动机
motorize 摩托化
motorized 机械化
mottle 色泽斑驳
motto 笺言
mould 铸造
mould 模具
moulmein 毛淡棉
mount 安装
mountain 山
mountainous 多山
mountainy 山区
mourn 哀悼
mournful 悲哀
mourning 哀痛
mouse 鼠标
mouse 老鼠
mouse 耗子
mouse 胆小的人
mouse 搜寻
mouth 多听少讲
mouth 口
movability 可动性
movable 活动
move 移动
move 运动
move 靠近
movement 运动
movie 电影
mow 扫倒
mozambican 莫桑比克
mozambican 莫桑比克人
mozambique 莫桑比克
mozart 莫扎特
mr 先生
mrs 夫人
ms 美国微软公司
ms 微软公司软件
muaeum 博物馆
much 许多
much 多得多
much 得多
much 非常
much 多达
mud 泥泞
muddy 泥泞
muffler 消声器
mug 杯子
mule 骡子
multi 多
multiangular 多角
multibarrel 多管
multibucket 多斗
multiform 多种形式
multilateral 多边
multilevel 多级
multilingual 多种语言
multimedia 多种手段
multimetal 多金属
multimeter 万用表
multipath 多路径
multiple 成倍增加
multiple 若干
multiplex 多元
multiplicand 被乘数
multiplicity 多样性
multiplier 乘法器
multiply 成倍增加
multipurpose 多用途
multistage 多级
multistorey 多层
multitude 多数
multitude 大批量
multivalue 多值
multivariate 多元
mum 妈妈
mummy 木乃伊
mumps 流行性腮腺炎
mungbean 绿豆
munich 慕尼黑
municipal 市政
munition 军火
munster 明斯特
murder 谋杀
murderer 凶手
murderess 女凶手
murderous 杀气腾腾
murk 黑暗
murky 黑暗
murmansk 摩尔曼斯克
murmur 低语
murmurous 低声
muscat 马斯喀特
muscle 肌肉
muscular 强健
muse 沉思
mushroom 蘑菇
music 音乐
musical 音乐
musician 音乐家
musk 麝香
musket 滑膛枪
musketeer 滑膛枪手
musketry 步枪射击
muslim 伊斯兰教徒
mussulman 穆斯林
must 必须
mustard 芥子气
muster 集聚
muster 集合
mutable 易变
mutate 变异
mutation 变化
mute 哑
mute 哑巴
mutilate 毁伤
mutinous 反叛
mutiny 兵变
mutton 羊肉
mutual 互相
mutually 相互
myocarditis 心肌炎
mysterious 神秘
mystery 神秘
mystify 迷惑
myth 神话
nab 逮捕
nacarat 胭脂红
nacelle 发动机舱
naevus 痣
nagasaki 长崎
nagger 泼妇
nagoya 名古屋
naha 那霸
nail 钉牢
nail 钉子
nairobi 内罗毕
naive 天真
naked 裸露
nakedness 裸出
name 给
name 名字
name 命名
nameless 无名
namely 即是
namer 命名人
namibia 纳米比亚
namibian 纳米比亚人
nanchang 南昌
nancy 南锡
nanjing 南京
nanning 南宁
nantes 南特
nantong 南通
nap 小睡
napalm 凝固汽油
nape 后颈
naples 那不勒斯
napoleon 拿破仑
napoli 那波利
nappkin 餐巾
nara 奈良
narciscus 水仙
narcissism 自我陶醉
narcotic 麻醉剂
nares 鼻孔
narrate 叙述
narration 叙述
narrative 叙述
narrative 叙述性
narrator 解说员
narrow 狭窄
nasa 国家航天局
nascence 起源
nascent 初生
nassau 拿骚
nasty 肮脏
natality 出生率
nation 国家
national 国家
nationalism 民族主义
nationalist 民族主义者
nationality 国籍
nationalize 国有化
nationwide 全国性的
nationwide 在全国范围内
nationwide 全国范围
native 本地人
native 本地
nativity 诞生
nato 北约
natrium 钠
nattily 整洁
natty 整洁
natural 天然
naturalism 自然
naturally 自然地
nature 性质
naught 零
naughty 不安份
nauru 瑙鲁
nausea 恶心
nauseate 恶心
nauseation 恶心
nauseous 令人恶心
nautical 航海
naval 海军
navel 脐
navigable 适于航行
navigate 驾驶
navigation 航行
navigational 航行
navigator 航行者
navvy 掘土机
navy 海军
naysay 拒绝
naysayer 拒绝者
naze 海角
nazi 纳粹
ndjiamena 恩贾梅纳
neapolitan 那不勒斯
near 邻近
near 近
nearby 邻近
nearly 几乎
neat 整齐
nebraska 内布拉斯加
nec 日本电气公司
necessarily 必要地
necessary 必要
necessitate 成为必要
necessitous 贫困
necessity 必要性
necessity 必需品
neck 颈项
necrology 讣告
need 需要
needful 必需
needily 在贫穷中
neediness 贫穷
needle 针
needless 不必要
needy 贫困
nefarious 恶毒
negate 否定
negation 否定
negative 否定
negative 负值
negative 底版
negatron 负电子
neglect 忽略
neglect 忽视
neglect 疏忽
neglectful 忽略
negligence 疏忽
negligent 疏忽
negligible 可以忽略
negotiable 可通过谈判解决
negotiant 协商者
negotiate 谈判
negotiate 越过
negotiation 谈判
negotiator 谈判代表
negress 女黑人
negro 黑人
neighbour 邻居
neighbouring 相邻
neighbourly 和睦
neimenggu 内蒙古
neither 全都
neither 既非
neither 两者
neodoxy 新学说
neodymium 钕
neolithic 新石器时代
neon 氖
neoteric 现代
neoteric 现代人
nepal 尼泊尔
nepalese 尼泊尔人
nepalese 尼泊尔
nepali 尼泊尔语
nephew 外甥
nephritis 肾炎
nepotism 任人唯亲
nepotistic 裙带关系
neptune 海王星
neptunium 镎
nerchinsk 涅尔琴斯克
nerve 神经
nerveless 无生气
nervous 精神紧张
nescience 无知
nescient 无知
nessie 尼斯湖怪兽
nest 穴
net 网
net 纯粹的
net 净利
net 实价
nether 下面
netherlander 荷兰人
netherlands 荷兰
nethermost 最低
netherward 向下
neting 编织
netting 网
nettle 荨麻
nettlesome 恼人
network 网络
networking 网络
neuralgia 神经痛
neuritis 神经炎
neurologist 神经学家
neurology 神经学
neuropathist 神经病专家
neurosis 神经官能症
neuter 中性
neutral 中立
neutral 中立国
neutralism 中立主义
neutrality 中立
neutrality 中性
neutralize 压制
neutron 中子
nevada 内华达
nevadian 内华达州人
nevadian 内华达州
never 决非
nevermore 决不再
nevertheless 然而
new 新
new 新的
new 最近的
new 陌生的
newcastle 纽卡斯尔
newfoundland 纽芬兰
newish 有些新
newly 新近
news 新闻
newsboy 报童
newsbreak 有新闻价值的事件
newscast 新闻广播
newsfilm 新闻电影
newsflash 简明新闻
newsmagazine 时事刊物
newsmaker 新闻人物
newspaper 报纸
newspaperman 新闻记者
newsprint 新闻纸
newton 牛顿
next 下一
next 其次
next 后
nexus 纽带
ngwane 恩格瓦尼
nhk 日本广播协会
niagara 尼亚加拉河
niamey 尼亚美
nib 钢笔尖
nicaragua 尼加拉瓜
nicaraguan 尼加拉瓜人
nicaraguan 尼加拉瓜
nice 好
nicely 精细地
nicety 精确性
niche 小生境
nickel 镍
nickname 以绰号称呼
nickname 绰号
nicobars 尼科巴群岛
nicosia 尼科西亚
nicotian 烟草
nicotine 尼古丁
nicotinism 尼古丁中毒
niece 侄女
niger 尼日尔
nigeria 尼日利亚
nigerian 尼日利亚人
nigerian 尼日利亚
night 夜间
nightduty 夜勤
nightfall 黄昏
nightime 夜间
nightly 夜夜
nightly 每夜
nightmare 恶梦
nightware 睡衣
nightwork 夜间工作
nigrify 变黑
nihilist 无政府主义者
nihilistic 无政府主义
nil 零
nile 尼罗河
nimble 敏捷
nimiety 过剩
nine 九
nineteen 十九
nineteenth 第十九
nineth 第九
ninetieth 第九十
ningbo 宁波
ningxia 宁夏
niobium 铌
nip 剪断
nippon 日本
nipponese 日本人
nipponese 日本
niton 氡
nitrogen 氮
no 不
no 没有
no 不是
no 拒绝
nobelist 诺贝尔奖金获得者
nobelium 锘
nobiliary 高贵
nobility 高贵
noble 高尚
nobles 贵族
nobody 任何人
nobody 没有任何人
nocturnal 夜间
nocuous 有害
nod 点头
node 节点
nodule 节结
noise 噪音
noiseless 没有声音
noisiness 噪声
noisy 有噪声
nomad 游牧
nomad 游牧民
nomadic 游牧
nominal 名义
nominate 提名作为候选人
nomination 任命
nominator 提名者
nominee 被提名者
nomology 法理学
nonability 无能
nonaligned 不结盟
nonalignment 不结盟
nonchalance 冷淡
nonchalant 冷淡
noncombatant 非战斗人员
noncommittal 不明朗
nonconductor 绝缘体
none 任何
nonelastic 无弹性
nonentity 不存在
nonessential 不重要
nonius 游标
nonlethal 不致命
nonlinear 非线性
nonluminous 无光
nonmetal 非金属
nonmetallic 非金属
nonmilitary 非军事
nonnatural 非自然
nonnegative 非负值
nonnuclear 非核
nonparty 无党派
nonperiodic 非周期性
nonprofit 非营利
nonresistant 不抵抗
nonresistant 不抵抗主义者
nonscheduled 不定期
nonsectarian 无派性
nonsense 废话
nonskid 防滑
nonsmoker 不抽烟者
nonstandard 非标准
nonstop 不断
nontoxic 无毒
nonuniform 不一致
nonviable 不能生存
nonviolence 非暴力主义
nonviolent 非暴力
nonwar 非战争性
nook 隐蔽处
noon 中午
noose 用套索捕捉
noose 绞索
nor 也非
norad 北美空防联合司令部
nordic 北欧
norfolk 诺福克
norm 标准
normal 正常
normality 常态
normalize 规格化
normally 通常
normandy 诺曼底
normative 标准化
north 北方
north 北部
northeast 东北
northern 北方
northerner 北方人
northwest 西北
norway 挪威
norwegian 挪威人
norwegian 挪威
norwegian 挪威语
nose 鼻子
nose 侦察出
nosily 爱管闲事
nostalgia 怀旧
nostalgic 怀旧
nostril 鼻孔
nostrum 秘方
not 并非
not 不是
notability 显要人物
notable 值得注意
notary 公证人
notate 写成标志
notation 符号
notch 切割
notch 缺口
notching 陷波
note 注意到
note 笔记
notebook 笔记本
noteworthy 值得注意
nothing 任何东西
notice 注意到
notice 布告
noticeable 值得注意
noticeably 明显地
notifiable 应予通报
notification 通报
notify 通报
notion 观点
notional 概念
notorious 声名狼籍
nottingham 诺丁汉
nouakchott 努瓦克肖特
noumea 努美阿
noun 名词
nourish 滋养
nourishing 有营养
nourishment 营养品
novascotia 新斯科舍
novel 小说
novel 新奇
novelette 中篇小说
novelist 小说家
novelty 新颖
november 十一月
novgorod 诺夫哥罗德
novice 初学者
novosibirsk 诺沃西比尔斯克
now 现在
nowaday 现今
nowadays 现今
nowhere 在任何地方不
noxious 有害
nozzle 喷管
nri 野村综合研究所
nubia 努比亚
nubian 努比亚人
nubian 努比亚
nubilous 多云
nuclear 核
nucleon 核子
nucleonics 原子核物理学
nucleus 核子
nude 裸体
nuisance 令人讨厌的事物
nukualofa 努库阿洛法
null 无效
nullify 无效
nullity 无效
numb 失去知觉
numb 麻木
number 数量
numerable 可计数
numeral 数字
numerator 分子
numeric 数字
numerical 数字
numerically 在数目上
numeroscope 示数器
numerous 无数
nun 修女
nunnery 女修道院
nuremberg 纽伦堡
nurse 照料
nurse 护士
nursery 托儿所
nurture 教养
nurture 教育
nut 坚果
nut 螺母
nutlet 小坚果
nutrient 有营养
nutriment 营养品
nutrimental 有营养
nutrition 营养
nutritious 有营养
nutritive 营养
nutritive 富于营养的食物
nutshell 坚果壳
nylon 尼龙
oahu 奥阿胡岛
oak 橡木
oakland 奥克兰
oapec 阿拉伯石油输出国组织
oar 船桨
oas 美洲国家组织
oasis 绿洲
oat 燕麦
oath 誓言
oau 非洲统一组织
obedience 顺从
obedient 顺从
obeisance 敬意
obese 肥胖
obesity 肥胖症
obey 服从
obfuscate 模糊
obfuscation 模糊
obituarist 讣告作者
obituary 讣告
obituary 死亡
object 目标
object 目标
object 反对
object 反对
object 宾语
object 宾语
objectify 客观化
objection 反对
objectional 引起反对
objective 目标
objective 客观
objectivism 客观主义
objectivity 客观现实
objectless 无目地
objector 反对者
objurgate 怒斥
objurgation 谴责
objurgatory 谴责
oblast 州
oblate 献身于宗教工作的人
oblate 扁圆形
oblateness 扁圆形
oblation 祭品
obligate 强制
obligation 责任
obligatory 强制性
oblige 强迫
obligee 债权人
obliger 施惠于人者
obliging 乐于助人
obligor 债务人
oblique 倾斜
obliquity 倾斜度
obliterate 清除
obliteration 消失
oblivion 忘却
oblivious 忘却
oblong 椭圆
obnoxious 引起反感
oboe 双簧管
oboist 吹双簧管者
obscene 污秽
obscenity 诲淫
obscurant 蒙昧主义
obscurantism 愚民政策
obscuration 遮蔽
obscure 模糊不清
obscurity 含混不清
obsecration 恳求
obsequial 丧礼
obsequies 葬礼
obsequious 奉承
observable 可辩别
observance 仪式
observance 遵守
observant 观察敏锐
observation 观察
observatory 天文台
observe 观察
observer 观察员
obsess 困扰
obsession 着迷
obsolescence 废弃
obsolescent 逐渐被废弃
obsolete 过时
obsoletism 废弃
obstacle 障碍
obstetric 产科
obstetrician 产科医生
obstinacy 固执
obstinate 固执
obstruct 阻碍
obstruction 阻碍
obstructive 障碍物
obtain 获得
obtainable 可获得
obtest 恳求
obtestation 恳求
obturate 封闭
obturation 封闭
obturator 封闭器
obtuse 钝
obverse 正面
obvert 换个面观看
obviate 排除
obvious 明显
obviously 明显地
ocas 中美洲国家组织
occasion 场合
occasional 偶然
occasionally 有时
occasionlity 偶然性
occident 西方
occidental 西方
occlude 堵塞
occlusion 闭塞
occlusive 堵塞
occult 隐藏
occultation 隐藏
occultism 神秘学
occupancy 占有
occupant 占领者
occupation 占领
occupation 职业
occupational 职业
occupier 占领者
occupy 占领
occur 发生
occurrence 发生
occurrence 事件
ocean 海洋
oceangoing 远洋航行
oceania 大洋洲
oceanian 大洋洲人
oceanian 大洋洲
oceanic 海洋
oceanics 海洋工程学
oceanography 海洋学
ocr 光学字符阅读器
october 十月
octobrist 十月党人
octonal 八进制
octopus 章鱼
ocular 视觉
oculist 眼科医生
odd 奇特
oddball 古怪的人
oddball 古怪
oddish 有点奇怪
oddity 怪事
oddment 碎屑
oddness 奇特
odds 差距
odense 欧登塞
oder 奥得河
odessa 敖德萨
odeum 音乐厅
odious 可憎
odium 憎恨
odograph 里程表
odometer 里程表
odor 气味
odoriferous 散发气味
odorous 有气味
odysseus 俄底修斯
odyssey 奥德赛
oecd 经济合作与开发组织
oecumenical 普遍
oedema 水肿
oedematous 浮肿
oersted 奥斯特
of 属于
of 由于
of 关于
of 是由
off 失去
offal 下脚料
offbeat 不规则
offence 冒犯
offenceless 无力进攻
offend 冒犯
offender 犯人
offense 进攻
offensive 进攻性
offensive 进攻
offer 提供
offhand 立即
offhand 即席
office 办公室
officer 官
official 文官
official 官员
officialize 正式化
officiate 行使
officious 非正式
offload 卸载
offset 补偿
offshoot 分支
offshore 海外
offspring 产物
offstage 幕后
often 经常
ogival 尖顶
ogive 尖形穹窿
ogle 做媚眼
ogle 媚眼
ogre 吃人的妖魔
ogreish 妖魔鬼怪
ogress 女妖魔
ogygian 史前
oh 啊
oh 哦
ohio 俄亥俄
ohm 欧姆
ohmage 欧姆电阻
ohmic 阻抗
ohmmeter 欧姆计
oil 石油
oil 加油
oilcan 油壶
oilhole 油孔
oilless 缺油
oilman 石油商
oilskin 油布
oilstone 油石
oirt 国际广播电视组织
ok 好
ok 很好
ok 不错
ok 可以
okhotsk 鄂霍次克
okinawa 冲绳
oklahoma 俄克拉何马
old 旧
old 旧的
old 老的
old 以前
oldish 有点旧
oleograph 石印油画
oleomargarim 人造黄油
olericulture 蔬菜学
olfaction 嗅觉
olfactory 嗅觉
olid 臭
oligarch 寡头政治的执政者
olivaceous 橄榄绿
olive 橄榄
olympia 奥林匹亚
olympic 奥林匹亚
olympics 奥林匹克运动会
omaha 奥马哈
oman 阿曼
omdurman 乌姆杜尔曼
omei 峨嵋
omelet 摊鸡蛋
omen 预告
omen 预兆
ominous 不祥
omissible 可以省去
omission 冗长
omissive 遗漏
omit 忘记
omit 省略
omnibus 公共汽车
omnibus 总括
omnifarious 各种各样
on 在
on 在之上
on 使
on 就有关
on 关于
on 根据
onboard 随车携带
once 一旦
once 一次
oncoming 即将来临
one 一
one 的
one 之一
ones 那些
oneself 自己
oneself 亲自
oneself 本身
onfall 攻击
onflow 滚滚向前
ongoing 正在进行
onion 洋葱
onload 装载
onlooker 旁观者
only 仅仅
only 唯一的
onset 袭击
onslaught 冲击
ontario 安大略湖
ontic 实体
onto 在
onus 负担
onward 向前
onwards 向前
ooze 渗出
ooze 软泥
oozy 软泥
opacity 不透明性
opaque 不透明
opec 石油输出国组织
open 开阔
open 打开
openable 能开
openly 公开
opera 歌剧
operability 可操作性
operable 可操作
operand 算子
operate 操作
operate 运行
operation 操作
operation 作战
operation 手术
operational 作战
operative 操作
operator 操作员
opiate 鸦片剂
opiate 安眠
opiate 缓和
opine 认为
opinion 意见
opium 鸦片
opiumism 鸦片烟瘾
opiumize 麻醉
opponent 对立
opponent 对手
opportune 恰好
opportunity 机会
opposable 可反对
oppose 反对
opposeless 无可反驳
opposite 相反
opposite 相对于
opposite 对立面
opposition 反对
oppositional 反对
oppress 压迫
oppression 压迫
oppressive 压迫
oppressor 压迫者
oppugn 反驳
oppugner 反驳者
opt 选择
optant 选择者
optical 光学
opticist 光学家
optics 光学设备
optimal 最理想
optimality 最优性
optimally 最理想
optimism 乐观主义
optimist 乐观主义者
optimistic 乐观
optimization 优化
optimize 优化
optimum 最佳值
option 选择
option 参数
option 可选择参数
optional 可任意选择
opulence 富裕
opulent 富裕
or 或
or 或者
or 否则
or 或者是
or 又
oral 口头
orally 口头地
oran 奥兰
orange 桔子
orangeade 橘子水
orangery 柑橘园
oration 演说
orator 演说者
orator 原告
oratory 演讲术
oratress 女演说者
orb 球体
orbicular 圆形
orbicularity 圆
orbit 轨道
orbital 轨道
orc 逆戟鲸
orchard 果园
orchestra 乐队
orchestral 管弦乐队
orchid 淡紫色
orchid 兰花
ordain 规定
ordeal 考验
order 命令
order 次序
orderliness 整齐
orderly 有秩序地
orderly 整齐
ordinal 顺序
ordinance 法令
ordinary 普通
ordinate 纵坐标
ordnance 军火
ore 矿石
oregon 俄勒冈
organ 机构
organ 器官
organdy 玻璃纱
organic 有组织
organism 有机体
organist 风琴手
organizable 可组织
organization 组织
organization 结构
organization 团体
organization 开发组织
organize 组织
organized 组织
organized 有组织的
organizer 组织者
orgiastic 狂欢
orgulous 骄傲
orgy 荒淫
orgy 狂欢
orient 指明方向
oriental 东方
orientation 方向
orifice 孔口
origin 起源
original 原来
original 原物
originality 创造力
originally 原来地
originate 起源
origination 发源
originative 有创造力
originator 发明者
orleans 奥尔良
ornament 装饰
ornament 装饰物
ornamental 装饰品
ornamental 装饰
orphan 孤儿
orthodox 正统
orthodoxy 正统
orthogonal 直角
orthograph 正视图
orthopter 扑翼飞机
oruro 奥鲁罗
osaka 大阪
oscar 奥斯卡
oscillate 振荡
oscillator 振荡器
oscillatory 摆动
oscillogram 波形图
oscillograph 示波器
oscilloscope 示波器
oscillotron 电子射线管
oscitancy 冷淡
osier 柳树
osier 柳条
osiris 地狱判官
